Size,Instance,Epsilon,Algorithm,Objective,TimeDev,IntentDev,Runtime
50,8,1e-06,SA,2412.4768386920064,21,21,2.5677618980407715
50,8,1e-06,Adaptive SA,2367.9411283648074,20,20,2.332995891571045
50,8,1e-06,SA,2412.803038092739,22,22,2.8395779132843018
50,8,1e-06,Adaptive SA,2367.9411283648074,20,20,3.053788185119629
50,8,1e-06,SA,2436.5691145581022,22,22,2.485642194747925
50,8,1e-06,Adaptive SA,2367.9411283648074,20,20,2.317634344100952
50,8,1e-06,SA,2433.70237745122,22,22,2.435323476791382
50,8,1e-06,Adaptive SA,2367.9411283648074,20,20,2.5321643352508545
50,8,1e-06,SA,2391.59547105279,22,22,3.27809739112854
50,8,1e-06,Adaptive SA,2367.9411283648074,20,20,2.401480197906494
50,8,1e-06,SA,2441.506471698096,22,22,2.7225985527038574
50,8,1e-06,Adaptive SA,2367.9411283648074,20,20,2.4124202728271484
50,8,1e-06,SA,2385.5353660293367,22,22,3.030987501144409
50,8,1e-06,Adaptive SA,2367.9411283648074,20,20,2.873763084411621
50,9,1e-06,Greedy,2275.823689607714,20,20,0.0039446353912353516
50,9,1e-06,SA,2288.0174484366194,21,21,3.3434858322143555
50,9,1e-06,Adaptive SA,2275.823689607714,20,20,2.467958450317383
50,9,1e-06,SA,2283.2167052369664,21,21,2.421739101409912
50,9,1e-06,Adaptive SA,2275.823689607714,20,20,3.2863614559173584
